"","country","year","vector","popvector","aidvector","percIN","percOUT","percGIVEN","percRECEIVED","percINVEST"
"1","Aruba",1990,"11",1,1,22.8712106584283,0.00643624895410955,0,0,0
"2","Afghanistan",1990,"11",1,1,34.7786754085537,0,0,0,0
"3","Angola",1990,"11",1,1,1.25927962853628,0.000107837348926614,0,18.3730118099734,10.87149184
"4","Albania",1990,"11",1,1,0.231976344741677,13.1213902028333,0,0.141194649518729,0
"5","United Arab Emirates",1990,"11",1,1,24.1828957668353,6.10878088258188,1.38215768860336,0.260576822340363,0.993305047683008
"6","Argentina",1990,"11",1,1,0.516487451473797,0.526829727336667,0,9.66275819938237,10.7065731894381
"7","Australia",1990,"41",1,4,3.37450117491254,1.2065033313605,1.79920425158642,0.00101247485176423,8.82489840755647
"8","Austria",1990,"11",1,1,3.11950611173701,0.0777040447521116,0.91257295105175,0,3.43328077078368
"9","Burundi",1990,"11",1,1,4.86228655221738,9.33904920613966,0,153.107768332955,0.284926891406794
"10","Belgium",1990,"11",1,1,1.17879534830571,0.330839230654317,0.922655961270669,0,0
"11","Benin",1990,"11",1,1,2.06395534255192,0,0,82.6513202290305,14.0707565254561
"12","Burkina Faso",1990,"11",1,1,1.39797456212001,3.13688531185844,0,75.6525635593191,0.828459395348623
"13","Bangladesh",1990,"14",4,1,0.157347674633821,1.1447000398252,0,51.5151554148721,0.106172515506622
"14","Bulgaria",1990,"11",1,1,0.0611358490180814,4.06410019213632,0,0.00456809735936516,1.19619480685428
"15","Bahrain",1990,"11",1,1,7.43813817689094,6.34527285338667,0,1.99910064788733,29.2819419208625
"16","Belize",1990,"11",1,1,4.31187084115339,5.36811124381505,0,57.8959375378284,17.1818181818182
"17","Bolivia",1990,"11",1,1,0.168080316838106,1.64200642742399,0,109.918521049621,8.75794071230093
"18","Brazil",1990,"43",3,4,0.0543994216544833,0.13409321460886,0,4.69562764583079,1.84369891661117
"19","Barbados",1990,"11",1,1,0.959389186324287,3.12358376796454,0,9.91759897251838,2.75306518093416
"20","Bhutan",1990,"11",1,1,0.00336131315300511,18.8838572935827,0,89.1641372199346,0.733863701792582
"21","Botswana",1990,"11",1,1,1.42084367893064,0.143425128314396,0,39.6137746002963,-5.67170335736531
"22","Central African Republic",1990,"11",1,1,1.29840644393553,0.0499007431330314,0,89.3786246065296,-1.47362018264055
"23","Canada",1990,"41",1,4,3.08238998236839,0.77567557842467,2.38353212217617,0.000330285131797107,4.74877918854445
"24","Switzerland",1990,"41",1,4,3.97057919127323,0.293201463654559,1.68165259014735,0,5.78886382222819
"25","Chile",1990,"11",1,1,0.680683547821577,0.00633123210494748,0,22.409697088538,19.1273927059356
"26","China",1990,"42",2,4,0.00902328695322789,0.0800574355721755,0,7.64507768008839,22.2555373048128
"27","Cameroon",1990,"11",1,1,0.198096842024334,0.273239594613549,0,41.5038861490522,-0.914763495820454
"28","Colombia",1990,"14",4,1,0.0188261037292055,0.759463465380905,0,20.0175375430131,10.1583564528557
"29","Comoros",1990,"11",1,1,0.947863873740196,1.68977511417725,0,84.3236785600046,0.72815333918089
"30","Costa Rica",1990,"11",1,1,2.77771856147008,0.773354211926767,0,45.058806084376,15.0092038366659
"31","Cuba",1990,"11",1,1,0.000926093749793283,1.08506057692617,0,0.642904867431286,0
"32","Cyprus",1990,"11",1,1,5.69558746222008,0.0714834511897168,0,7.32668696760809,8.48638118504462
"33","Czech Republic",1990,"11",1,1,0.745904887618784,0.511866668666663,0,0.0013618441273833,0
"34","Germany",1990,"34",4,3,4.17468280102978,0.0180139171074541,1.74740747903844,0,0.755071445858831
"35","Djibouti",1990,"11",1,1,0,2.56766311552869,0,111.971165673659,0
"36","Denmark",1990,"11",1,1,1.63487643016188,0.367948345623241,3.54735953408999,0,7.53793710466675
"37","Dominican Republic",1990,"11",1,1,0.69684669873766,2.50676327870276,0,27.6322985019781,12.0672780931089
"38","Algeria",1990,"11",1,1,0.0654320848533928,0.271951258480315,0,11.9795837798533,0
"39","Ecuador",1990,"11",1,1,0.235866113855972,0.736977623497945,0,34.00814632342,9.93518190317169
"40","Eritrea",1990,"11",1,1,0.174286567128043,11.6183611583383,0,0,0
