"","year","country","percIN","percOUT","percGIVEN","percRECEIVED","percINVEST","aidvector","GDP","percinvestout","netaid","aidreceived","perc1yraid","perc1yrinvest","perc1yraid.1","investout","next1yraid","invest","next2yraid"
"1",1990,"Afghanistan",34.7786754085537,0,0,0,0,"G",0,2,138156656,138156656,NA,2,NA,0,-23944349,0,11003652
"2",1990,"Albania",0.231976344741677,13.1213902028333,0,0.141194649518729,0,"C",2101624962.5,-14.3225552182342,0,0,-14.3225552182342,-14.3225552182342,-14.3225552182342,0,0,0,106573839
"3",1990,"Algeria",0.0654320848533928,0.271951258480315,0,11.9795837798533,0,"G",62045099642.7774,-15.7927074863643,1086237512,1086237512,0.346106993866199,-1.73948410156234,0.346106993866199,0,1376621285,334914.564224984,-236936597
"4",1990,"Angola",1.25927962853628,0.000107837348926614,0,18.3730118099734,10.87149184,"G",10026737967.9144,0.523625783793985,552800358,552800358,-0.0278502547274646,0.998536221883602,-0.0278502547274646,334800000,94039305,0,68709289
"5",1990,"Argentina",0.516487451473797,0.526829727336667,0,9.66275819938237,10.7065731894381,"G",141352368714.691,-16.1503030905836,1064190579,1064190579,0.328693434306075,-0.369985778443435,0.328693434306075,0,3012981915,1.836e+09,3593571660
"6",1990,"Aruba",22.8712106584283,0.00643624895410955,0,0,0,"H",0,2,50102606.9999999,50102607,NA,16.7343661989281,NA,0,-50002836,130502793.296089,229196
"7",1990,"Australia",3.37450117491254,1.2065033313605,1.79920425158642,0.00101247485176423,8.82489840755647,"A",310954982685.648,-16.4926975202605,-877353810,0,-16.4926975202605,-16.4926975202605,-16.4926975202605,0,0,8110892263.75746,0
"8",1990,"Austria",3.11950611173701,0.0777040447521116,0.91257295105175,0,3.43328077078368,"A",166062376739.683,-16.220271249398,-137421675,0,-16.220271249398,-16.220271249398,-16.220271249398,0,0,653220243.884956,0
"9",1990,"Bahrain",7.43813817689094,6.34527285338667,0,1.99910064788733,29.2819419208625,"G",4229787234.04255,0.635450370006313,28312922.9999999,28312923,1.22629877713484,1.2779249701445,1.22629877713484,182712765.957447,712225140,0,0
"10",1990,"Bangladesh",0.157347674633821,1.1447000398252,0,51.5151554148721,0.106172515506622,"F",31598341233.5793,-15.4996642847699,3710790949,3710790949,NA,-15.4996642847699,NA,0,-1290003504,3238781.18895631,159554585
"11",1990,"Barbados",0.959389186324287,3.12358376796454,0,9.91759897251838,2.75306518093416,"F",2012302519.52124,-14.3036932709577,3286976.9999999,3286977,0.0176737433728133,-14.3036932709577,0.0176737433728133,0,20958829,11200000,140802858
"12",1990,"Belgium",1.17879534830571,0.330839230654317,0.922655961270669,0,0,"A",206431036697.248,-16.3147749935996,-808091033,0,-16.3147749935996,-16.3147749935996,-16.3147749935996,0,0,0,0
"13",1990,"Belize",4.31187084115339,5.36811124381505,0,57.8959375378284,17.1818181818182,"F",413050000,-13.6160026264984,17244178.9999999,17244179,0.721106382354471,-13.6160026264984,0.721106382354471,0,21732466,17200000,62410994
"14",1990,"Benin",2.06395534255192,0,0,82.6513202290305,14.0707565254561,"G",1959965243.76269,-14.2922483700422,286728236,286728236,1.0062214524777,0.47419444152507,1.0062214524777,0,198824465,62376777.1352232,-175865673
"15",1990,"Bhutan",0.00336131315300511,18.8838572935827,0,89.1641372199346,0.733863701792582,"F",299787275.842376,-13.476813195728,61890240.9999999,61890241,NA,-13.476813195728,NA,0,-4064699,1600000,17454881
"16",1990,"Bolivia",0.168080316838106,1.64200642742399,0,109.918521049621,8.75794071230093,"G",4867582620.20708,-14.6873133317782,1181575235,1181575235,0.656392465902513,-0.292861650951987,0.656392465902513,0,220650948,27200000,-218244576
"17",1990,"Botswana",1.42084367893064,0.143425128314396,0,39.6137746002963,-5.67170335736531,"F",3790567051.86778,-14.578704183339,228886767,228886767,-2.05666835252904,-14.578704183339,-2.05666835252904,0,332687,95889963.0424101,-6254750
"18",1990,"Brazil",0.0543994216544833,0.13409321460886,0,4.69562764583079,1.84369891661117,"G",461951782000,-16.6645966467592,4021222572,4021222572,NA,-1.60769179542273,NA,0,-426679405,9.89e+08,1667565543
"19",1990,"Bulgaria",0.0611358490180814,4.06410019213632,0,0.00456809735936516,1.19619480685428,"G",20632090909.0909,-15.3145432427219,942493.9999999,942494,0.565724226167781,-0.599375884873395,0.565724226167781,0,759044904,4e+06,-236392297
"20",1990,"Burkina Faso",1.39797456212001,3.13688531185844,0,75.6525635593191,0.828459395348623,"G",3101301780.95067,-14.4915440285478,401650282,401650282,1.02246022388287,-2.45015134338956,1.02246022388287,0,326591030,460000,-295489553
"21",1990,"Burundi",4.86228655221738,9.33904920613966,0,153.107768332955,0.284926891406794,"F",1132101252.51817,-14.0538852708835,364190577,364190577,NA,-14.0538852708835,NA,0,-16711928,1255434.74294,5329039
"22",1990,"Cambodia",1.71275908950038,0,0,0,0,"G",0,2,29753427.9999999,29753428,16.8364465555616,2,16.8364465555616,0,68619343,0,203022491
"23",1990,"Cameroon",0.198096842024334,0.273239594613549,0,41.5038861490522,-0.914763495820454,"G",11151578050.7356,0.00509340536616361,911500448,911500448,-0.764024604364956,-0.0546357713788046,-0.764024604364956,112831336.842375,19200464,0,205159512
"24",1990,"Canada",3.08238998236839,0.77567557842467,2.38353212217617,0.000330285131797107,4.74877918854445,"A",593929550908.468,-16.7737349340954,-3144363927,0,-16.7737349340954,-16.7737349340954,-16.7737349340954,0,0,7580601938.18178,0
